# TESS Program G011113

Title: White Dwarf Variability In The Ecliptic South

PI: Hermes, JJ - University Of North Carolina

Type: Small

Summary: We propose observations with 2-min cadence of 815 known and high-probability white dwarfs in Cycle 1 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed photometry will also enable asteroseismology of dozens of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of stellar remnants. From both asteroseismology and spot modulation of magnetic white dwarfs we will significant expand the number of white dwarfs with measured rotation rates, putting strong constraints on the endpoints of angular momentum in stars.             


# Sector 001 targets observed (109)
220404108,69.8141,-57.3168,14.91,G011113
237359474,61.3896,-50.9327,15.31,G011113;G011294
293620786,59.909,-51.3111,15.32,G011113;G011294
153708460,65.5468,-47.695,15.16,G011113;G011294
161478895,73.3025,-44.3938,15.61,G011113
200298267,72.4915,-47.8332,15.42,G011113
219244444,65.2734,-48.6548,12.53,G011268;G011113;G011180
219374540,76.2425,-49.6946,15.51,G011113
220437364,73.8109,-54.696,14.66,G011113
231724423,81.0942,-51.6813,16.0,G011113
259475111,70.4062,-48.9175,15.26,G011113
348841203,98.8744,-59.3335,15.96,G011113
381976323,77.4292,-59.4935,14.11,G011113;G011203
382303117,83.2783,-56.0647,16.01,G011113
33840009,64.9072,-73.0623,14.92,G011113;G011203
141976247,95.7195,-75.6775,15.66,G011113
261400271,94.5563,-80.197,14.99,G011113
391923441,106.9794,-74.641,15.2,G011113
150245754,94.1803,-64.9634,14.35,G011113;G011294
279510595,105.58,-58.8366,14.66,G011113;G011294
300013123,107.2148,-67.1092,15.32,G011113
300970893,118.284,-67.7921,13.3,G011113;G011294
306826966,121.7284,-66.3061,13.71,G011113

# Sector 005 targets observed (102)
248621149,66.4194,-2.5801,16.4,G011113
248654486,67.359,-4.8124,14.57,G011113;G011294
248658283,67.4385,-5.4898,13.94,G011113
250163328,64.2194,-4.4569,14.83,G011113;G011294
333660876,56.6049,-0.6441,15.11,G011113;G011294
333701850,57.2097,-0.9765,14.34,G011113;G011294
